Hour,Generator,Unit commitment,Generation
0,0,1.0,9.166542520769763
0,1,-0.0,0.0
1,0,1.0,9.166542520769763
1,1,-0.0,0.0
2,0,1.0,9.166542520769763
2,1,-0.0,0.0
3,0,1.0,9.166542520769763
3,1,-0.0,0.0
4,0,1.0,9.166542520769763
4,1,-0.0,0.0
5,0,1.0,9.166542520769763
5,1,-0.0,0.0
6,0,1.0,9.166542520769763
6,1,-0.0,0.0
7,0,1.0,9.166542520769763
7,1,-0.0,0.0
8,0,1.0,9.166542520769763
8,1,-0.0,0.0
9,0,1.0,9.166542520769763
9,1,-0.0,0.0
10,0,1.0,9.166542520769763
10,1,-0.0,0.0
11,0,1.0,9.166542520769763
11,1,-0.0,0.0
12,0,1.0,9.166542520769763
12,1,-0.0,0.0
13,0,1.0,9.166542520769763
13,1,-0.0,0.0
14,0,1.0,9.166542520769763
14,1,-0.0,0.0
15,0,1.0,9.166542520769763
15,1,-0.0,0.0
16,0,1.0,9.166542520769763
16,1,-0.0,0.0
17,0,1.0,9.166542520769763
17,1,-0.0,0.0
18,0,1.0,9.166542520769763
18,1,-0.0,0.0
19,0,1.0,9.166542520769763
19,1,-0.0,0.0
20,0,1.0,9.166542520769763
20,1,-0.0,0.0
21,0,1.0,9.166542520769763
21,1,-0.0,0.0
22,0,1.0,9.166542520769763
22,1,-0.0,0.0
23,0,1.0,9.166542520769763
23,1,0.0,0.0
