Hour,Import/Export
0,-1.166542520769763
1,-1.166542520769763
2,0.8334574792302369
3,0.8334574792302369
4,0.8334574792302369
5,6.833457479230237
6,12.833457479230237
7,14.833457479230237
8,16.833457479230237
9,22.833457479230237
10,20.833457479230237
11,18.833457479230237
12,12.833457479230237
13,8.833457479230237
14,6.833457479230237
15,6.833457479230237
16,10.833457479230237
17,14.833457479230237
18,18.833457479230237
19,24.833457479230237
20,28.833457479230237
21,20.833457479230237
22,12.833457479230237
23,2.833457479230237
